id,level,id_parent,label_en,label_de,label_fr,explanation_en,use
elec_generation,0,,Hydrogen for electricity generation,,,,
hydrogen_pp,1,elec_generation,Hydrogen thermal power plant,,,,1.0
fuel_cell_h2,1,elec_generation,Fuel cell using hydrogen,,,,1.0
storage,0,,Hydrogen storage,,,,
h2_short_storage,1,storage,Hydrogen short-term storage,,,,1.0
h2_long_storage,1,storage,Hydrogen long-term storage,,,,1.0
passenger,0,,Passenger hydrogen vehicles,,,,
passenger_road_public,1,passenger,Private passenger hydrogen vehicles,,,,1.0
passenger_road_private,1,passenger,Public passenger hydrogen vehicles,,,,1.0
freight_road,0,,Hydrogen road freight,,,,
truck,1,freight_road,Hydrogen trucks,,,,1.0
ldv,1,freight_road,Hydrogen light duty vehicles,,,,1.0
space_heating,0,,Hydrogen used for space heating,,,,1.0
process_heat,0,,Hydrogen used for process heat production,,,,1.0
fuel_synthesis,0,,Hydrogen used for fuel synthesis,,,,1.0
exports,0,,Hydrogen exports,,,,1.0
